Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
1.7901e+30,5.649567469687841e+31,2.2582622376681085e+17,1529811493.3533688,14201766.238438401,29.96634265053587,0.22559611877786806,0.3994563960136191,0.155829730631877,RAD
2.6842540540540543e+30,8.306890061293931e+31,2.243824479248797e+17,1754193470.459573,14165428.961335294,29.48116472700089,0.22714910257409793,0.39945847030800546,0.1544442295716134,RAD
3.578408108108108e+30,1.0923680789964847e+32,2.2310596704642384e+17,1932451016.0083961,14133182.721206492,29.056652417956744,0.22853267250599457,0.39946030911773694,0.15379937727277151,RAD
4.472562162162163e+30,1.3504271815141036e+32,2.2195083221013805e+17,2082677485.188342,14103897.00599896,28.67599828677533,0.22979387415635238,0.3994619782145702,0.15343673741898212,RAD
5.366716216216217e+30,1.6052263761068202e+32,2.2086157720075667e+17,2214926273.123732,14076204.581845682,28.32019012399804,0.2309901188091405,0.3994635542784658,0.15324093853700185,RAD
6.260870270270271e+30,1.856969746851082e+32,2.1982709842398934e+17,2333717119.934692,14049834.809324732,27.98506620640074,0.2321325535349336,0.39946505307952096,0.15313638259902645,RAD
7.155024324324325e+30,2.105804270049283e+32,2.188458599437224e+17,2441564120.429017,14024751.791148158,27.66963011250497,0.23322246510159222,0.3994664776061939,0.15307727583583178,RAD
8.049178378378379e+30,2.351873938667168e+32,2.1791244831015475e+17,2540536518.2015676,14000823.453770382,27.3717290530264,0.23426525595812092,0.3994678358844549,0.15304316901656942,RAD
8.943332432432433e+30,2.5953163801371795e+32,2.1702051917187277e+17,2632352231.799521,13977894.66049692,27.089010191499746,0.2352673406602945,0.39946913695759584,0.1530249261457839,RAD
9.837486486486487e+30,2.83626285635846e+32,2.161627972758502e+17,2718377854.722373,13955787.211484365,26.818922764979153,0.23623614671225757,0.3994703908708566,0.1530199765390503,RAD
